galaxies
mod0,vgsr
28.35,460
30.39,1128
27.61,206
33.97,3908
29.89,1255
32.50,2384
32.26,2232
27.47,276
27.68,274
28.19,451
32.66,2128
33.23,3274
32.57,1261
28.24,349
32.45,1829
31.20,-270
27.83,NA
34.36,4248
33.24,3963
33.08,2500
27.66,396
33.23,2598
32.31,2492
32.39,2409
32.18,965
32.86,1924
32.40,2422
27.52,191
32.25,2333
33.63,4106
34.01,3648
30.74,939
35.88,8562
32.42,1411
27.58,262
30.73,1258
31.78,1990
32.91,2373
34.99,7134
31.01,1425
32.60,2226
29.30,258
32.08,2177
27.55,292
36.70,13801
33.75,1110
32.32,1895
30.97,1215
32.85,3418
34.80,4239
32.53,2612
28.26,373
31.75,2256
32.41,2555
34.39,4163
32.45,1928
31.16,1059
32.67,2756
31.00,1137
32.55,2179
29.08,485
29.65,1095
32.53,2397
31.22,1637
33.66,3760
28.63,366
32.26,2636
34.48,4284
29.18,376
29.15,435
33.40,2793
32.13,2575
34.05,3897
29.78,574
31.78,2002
34.44,4878
33.27,2526
30.44,1042
31.89,688
35.37,6825
31.77,1500
33.11,2669
32.91,1991
33.39,2504
28.12,267
33.07,2876
32.13,2182
31.54,1736
31.67,1092
29.74,454
26.80,195
33.38,3942
31.52,1981
30.70,713
33.11,2644
30.30,1057
32.58,3295
33.78,3630
29.83,758
29.64,434
30.96,1278
31.52,1526
31.10,1278
32.25,1528
31.01,1090
35.12,7126
32.01,1423
31.17,1513
31.17,1287
32.68,2702
31.01,2308
31.24,765
33.37,2679
31.99,2031
31.21,2397
33.49,4241
32.29,2635
33.27,2719
27.25,258
30.39,1249
31.93,1561
31.05,1039
30.79,1665
32.20,2086
35.97,9130
32.41,2054
31.42,1476
35.21,9138
27.79,255
32.92,2983
31.29,780
32.08,1650
32.84,3000
33.22,3638
32.85,2722
30.87,1371
32.12,2938
32.89,2205
31.20,2243
33.56,2502
33.20,3769
31.82,1604
30.34,1059
31.06,1216
33.00,2047
30.35,1297
34.87,6062
33.55,3682
31.68,1682
32.21,2245
31.84,986
28.82,355
32.71,1858
35.21,5679
31.45,1752
32.17,2377
35.41,7909
32.63,2667
31.60,1748
30.69,1939
32.33,2739
32.44,1848
32.22,2729
32.97,1794
32.09,1584
35.54,7177
32.16,1709
32.74,2570
31.69,2159
30.84,925
31.13,2141
33.17,2861
32.66,2527
31.92,2094
32.83,1998
35.19,12575
31.15,1031
32.33,2888
31.82,2709
33.19,2541
30.90,1940
33.78,4192
32.72,2112
33.60,3919
31.41,1449
31.17,1726
33.00,2499
31.28,1686
34.77,6174
29.90,611
31.34,622
32.07,1923
28.21,926
32.02,2867
31.82,2806
35.74,10072
32.13,1899
33.01,2887
32.52,1965
29.00,462
31.50,1178
30.93,515
35.07,6362
32.99,2414
32.15,1640
31.59,1840
35.83,8971
33.38,2894
32.94,1823
33.51,2204
31.75,1241
32.57,1462
30.80,821
31.96,1761
31.53,1002
19.29,-92
31.91,1835
32.24,1751
35.11,6586
32.52,2875
32.25,2038
31.70,2239
32.05,2222
32.25,1961
27.23,407
30.49,1140
31.53,1324
33.15,2714
31.18,818
35.81,11336
32.30,2073
32.63,2506
32.33,2243
32.81,2177
33.75,4285
32.61,1932
30.73,1470
30.92,1317
32.27,2142
31.50,2010
34.28,3636
31.98,2085
31.37,1488
31.91,2271
32.73,1519
32.92,2608
30.58,593
30.92,237
34.00,4523
32.86,2824
30.17,929
34.14,4388
33.56,6712
32.12,3361
33.57,2692
32.23,2022
32.88,2993
33.17,2944
33.73,2682
29.62,1037
30.26,598
32.34,1949
33.50,4164
30.85,1225
31.44,1165
33.07,2010
32.86,2255
32.95,1193
33.34,3868
35.46,8956
32.06,2502
32.62,2746
32.60,2221
32.65,2141
34.39,5694
34.21,2256
31.15,1002
36.29,11091
31.78,2233
28.01,316
32.33,2079
32.47,2022
34.24,4830
32.35,1855
35.65,7377
30.65,1212
32.54,2397
29.05,286
32.12,1976
27.38,106
32.42,1044
28.60,665
34.58,4635
31.25,2824
31.01,1528
35.00,7096
32.09,2055
35.76,10011
37.43,19156
33.53,4385
36.08,9138
35.65,9493
32.66,2096
34.56,5328
33.19,4839
33.64,3283
35.83,7606
31.89,1527
31.33,1605
32.87,3274
28.84,484
31.60,1622
34.64,5074
35.02,7688
32.45,2642
31.23,1100
36.20,12384
35.76,8275
31.64,1619
30.94,1012
31.83,1318
31.79,1466
31.93,1098
30.22,1376
31.49,1082
36.11,10698
30.29,1035
37.05,19504
31.79,2611
31.66,1395
33.29,3070
29.29,545
28.65,303
35.18,6820
33.08,4677
33.05,2680
35.05,8275
32.28,2794
35.09,7786
30.69,931
35.58,11693
35.41,8081
35.74,9327
35.79,8220
31.99,2290
35.00,6851
30.15,997
29.47,478
29.24,543
29.69,486
28.74,323
28.52,280
19.53,-101
30.04,1434
28.92,399
35.27,8216
31.96,2762
31.52,1357
32.82,2027
32.56,2907
32.61,2894
33.07,4913
35.53,6968
35.42,8883
31.93,1783
33.86,3947
33.00,2356
33.07,2682
32.16,2259
36.24,1992
27.03,196
31.07,1949
28.99,238
33.25,3506
33.78,4363
33.26,3195
33.15,4212
33.61,3284
34.61,5367
32.22,1875
33.26,3293
34.23,5048
34.27,5050
32.93,3091
34.12,4843
35.09,7222
32.05,2029
32.10,2721
32.28,2658
34.03,4825
31.68,2096
34.47,4771
32.19,1932
31.79,2357
33.53,3035
35.03,7072
34.15,4690
32.95,2444
31.84,2282
32.48,3032
32.84,3312
34.00,4495
32.46,2690
30.55,3146
33.70,5454
34.02,4917
31.68,3478
34.03,4689
31.53,1683
34.33,5434
35.37,8275
34.17,5962
29.34,630
35.38,9937
33.79,5182
35.20,6385
33.21,2792
33.08,2566
35.23,5655
34.77,5515
31.48,2157
30.62,694
33.56,4177
32.91,2702
34.30,4675
33.70,3619
35.01,4773
34.96,6777
34.37,3888
34.82,5862
35.28,5703
33.83,4025
30.16,1060
34.13,4887
33.87,4387
34.18,4941
32.11,2512
30.70,773
33.43,3944
34.95,7664
34.34,5863
29.76,698
33.78,4939
32.22,2654
32.19,3090
33.15,3300
33.02,3904
32.71,3117
34.06,4432
32.88,4114
31.55,1764
31.90,2634
29.09,278
31.99,2638
29.80,758
33.97,5584
29.94,679
32.90,3198
35.13,8294
34.47,5776
33.80,4377
33.56,2790
32.58,4877
27.75,50
33.30,4626
34.48,4863
32.86,2410
33.58,4654
32.84,3969
34.09,5432
34.61,6147
33.18,3110
33.23,4586
34.73,5602
25.17,7
31.96,1859
33.38,3347
29.65,780
34.47,6094
31.05,1046
29.65,1628
34.59,5853
23.32,44
32.31,2501
34.44,5686
32.87,3940
31.32,1828
34.44,5986
33.06,3791
34.65,5917
31.26,2070
34.07,4987
34.17,5684
33.95,3430
36.36,12078
33.95,4210
32.51,2952
35.23,7300
32.77,3022
29.21,470
32.32,2319
30.35,3475
32.48,2885
32.22,2797
30.27,734
32.14,2922
31.83,3171
32.32,3157
34.31,5637
34.89,5698
32.92,2839
32.39,2662
32.29,2593
32.97,3044
34.33,5558
32.45,2704
32.98,2627
32.98,3189
34.40,5778
31.20,3179
34.32,4959
33.31,3328
34.08,5027
32.33,2786
34.42,4709
33.70,5049
30.55,2628
33.18,3246
32.50,2210
32.73,2758
33.71,4412
33.85,5731
29.14,342
33.70,5536
34.89,6029
32.55,2876
34.75,5511
31.40,2415
33.98,4895
34.13,4763
32.37,2827
29.14,272
31.63,2663
33.64,4175
32.35,2984
35.02,5934
33.89,5423
33.97,4635
31.60,1645
33.20,4039
32.79,2893
32.87,3087
31.67,2757
34.27,4996
32.56,2766
32.24,3012
32.25,2701
33.94,4341
24.94,-26
32.63,2614
34.94,6153
28.71,483
32.86,3584
35.29,8203
35.35,8633
31.59,1740
34.04,4766
33.99,5505
32.45,3008
31.51,1573
34.41,5160
33.57,4742
33.69,3051
31.35,2657
32.62,2375
32.90,2757
33.05,6295
32.81,3268
34.61,4931
33.70,4327
36.09,9172
32.49,1706
34.80,5940
32.03,1920
34.24,4424
35.97,8743
30.96,1149
32.36,2235
34.26,5045
33.63,4226
35.34,6433
32.60,2669
34.06,5163
32.47,2677
33.37,3076
31.73,2254
31.55,1662
32.06,2672
30.19,759
35.08,8805
34.82,5509
31.19,2589
35.32,6810
32.59,3018
29.89,799
32.13,2477
32.86,3228
32.53,2598
33.25,2825
34.26,6035
34.45,5570
31.82,2728
31.86,2635
31.78,2613
34.39,5527
32.59,2552
32.78,2970
35.08,5462
32.14,2922
33.59,3691
34.95,6164
31.93,1896
31.83,1863
31.10,1776
35.35,7554
31.80,1827
32.90,2672
34.46,6064
31.50,2261
31.51,1343
33.15,2535
33.20,2823
32.42,2303
33.76,2418
32.46,2533
32.70,2803
31.24,1519
31.78,1866
32.62,2700
26.46,83
31.49,1868
31.84,1787
32.85,2552
30.83,1841
29.64,688
32.70,2581
35.44,5786
34.02,4942
33.24,2884
33.25,2850
30.73,1332
33.95,4301
32.87,2869
32.69,2871
32.10,1167
31.14,1621
31.87,2785
31.51,1860
32.40,1731
32.00,1752
31.53,1815
32.45,2811
36.59,12531
35.30,7063
34.77,5758
30.81,1946
30.80,1312
31.48,1608
32.86,2648
34.29,4384
32.12,1645
34.51,5356
34.04,5250
33.80,1642
32.76,2885
33.19,3427
32.72,2742
33.56,4438
36.42,11502
32.32,2535
32.43,2862
30.68,1389
35.52,8456
34.04,5092
29.99,892
34.70,4495
29.52,673
33.21,2752
32.36,2350
31.52,1761
32.27,2970
31.61,2415
33.38,4764
31.66,2045
35.08,7752
32.63,2620
29.17,1197
33.08,3087
32.83,2233
31.94,2566
31.86,2767
36.09,10607
36.22,10506
31.67,2076
33.76,4697
30.99,1479
35.13,7283
30.81,1031
31.79,1379
33.01,2994
31.70,1533
33.72,4281
32.89,2282
33.36,4213
31.21,3039
35.32,7588
32.43,2408
32.37,3101
33.26,3149
26.75,124
32.04,1756
32.49,2817
24.82,99
35.46,9478
30.89,1285
34.36,6739
33.76,4991
31.93,2086
32.45,2352
32.92,2689
32.60,2269
32.10,2666
32.83,2330
35.14,6940
31.93,1096
33.10,3223
34.95,6634
33.70,6517
32.77,2972
33.02,1735
33.31,2691
35.26,7750
32.57,2976
35.31,7318
29.50,1692
32.84,2879
31.10,1451
31.59,1670
32.71,2109
27.08,911
32.31,1800
29.56,925
32.75,2342
32.62,5929
32.02,2036
31.96,1931
31.80,1736
35.82,9427
32.65,2738
30.80,1294
33.12,2367
30.77,1014
31.87,2184
33.54,2975
32.86,2390
33.80,4411
31.79,2404
34.73,6825
30.83,1194
31.35,1376
33.69,2331
29.92,1049
34.25,5068
33.12,1793
32.40,2546
32.16,1810
36.05,9735
32.05,2312
34.83,7910
34.07,4736
32.14,1659
31.10,1885
32.24,1633
29.34,1626
35.55,9786
35.30,7285
31.97,1638
32.19,1568
33.18,3638
31.01,1596
33.12,3873
32.82,2818
32.90,2820
31.93,1571
32.78,3779
35.52,7054
36.39,12951
33.02,3650
32.29,1586
33.48,3732
32.68,2750
33.65,4266
33.72,5101
31.41,1560
33.58,2635
31.95,1563
33.33,4354
32.75,2317
33.80,3966
33.33,4337
32.47,3911
33.17,3672
31.83,1658
33.20,3709
33.40,4546
33.60,3912
33.23,3551
32.57,4366
32.09,4022
33.44,5099
32.74,4146
33.69,3905
33.58,3377
32.92,3747
32.24,3674
29.65,579
33.07,3992
33.47,3893
31.76,1661
32.93,2937
26.74,74
32.56,1928
31.57,1519
33.04,3670
33.26,3678
24.92,-19
35.57,9367
31.21,4730
32.73,2877
33.99,5271
31.65,1442
30.75,2381
31.93,1901
32.87,3101
32.88,3981
33.43,4986
31.17,700
33.29,2321
32.27,1904
32.13,1632
32.79,2350
34.21,5161
29.88,681
32.41,1553
35.44,9042
32.70,2769
33.58,2979
33.28,2793
32.51,2112
32.44,2149
32.00,1939
32.64,1935
35.16,9578
34.87,6755
35.06,7612
32.01,1452
28.20,275
35.99,8985
31.74,2207
31.36,1828
32.82,2193
31.42,3055
35.85,9212
35.30,9478
31.60,1818
32.38,2971
31.00,3082
36.48,12533
34.77,5996
35.48,10132
35.12,7258
35.55,8838
29.23,506
35.14,5942
34.41,5360
35.60,8144
33.57,1786
32.18,2578
27.86,227
35.96,10254
35.42,7746
33.47,3260
34.26,4894
31.82,NA
31.37,1389
31.30,1374
31.31,1907
35.46,8128
34.38,2981
34.79,6483
32.36,1368
35.43,6132
34.33,8182
34.23,6988
33.53,7566
35.84,8929
35.28,8188
32.11,1894
33.85,4703
33.31,3398
33.20,2790
33.47,3728
29.73,396
29.83,640
19.71,74
32.10,3316
33.93,4215
32.21,4308
31.68,2734
34.36,5135
33.03,2276
35.18,6210
33.62,2667
34.62,5861
36.06,11844
35.03,7794
35.98,6002
34.40,6858
31.87,1615
34.68,6394
35.92,10010
35.46,8412
34.80,4272
34.96,4406
35.05,5430
34.53,6538
35.21,7286
34.23,3251
36.05,9577
34.90,6430
36.49,8580
33.97,3863
34.56,4137
35.45,8100
36.59,11198
33.66,4617
34.78,4418
32.97,2163
36.62,10735
34.90,6430
35.48,9192
34.46,6708
34.00,5485
34.83,5106
32.67,3978
35.04,5805
34.72,5577
34.78,7412
33.74,2805
34.86,6782
31.17,1753
34.33,5285
34.53,5416
34.13,7350
34.34,5758
33.39,3623
37.00,11435
28.46,242
27.66,158
32.27,5599
33.08,4560
32.94,4473
33.11,5524
30.64,6056
33.77,3395
34.90,5100
32.51,2979
26.15,208
27.24,257
33.45,4341
37.59,19080
28.70,340
34.49,3674
32.55,3316
34.30,5290
28.17,NA
28.12,NA
27.56,81
27.79,98
27.71,205
29.82,429
29.83,NA
27.90,NA
28.47,NA
28.30,248
28.18,352
28.21,NA
28.85,449
28.14,NA
29.59,NA
28.59,428
27.88,NA
28.49,259
27.87,NA
27.91,NA
26.48,134
28.63,359
28.64,357
34.03,4441
34.37,4602
29.68,6048
32.49,2652
33.86,4566
34.09,4843
35.85,8487
37.62,23832
36.06,11410
37.49,22682
34.96,7952
36.65,15080
36.08,10346
36.87,13302
37.21,18221
28.69,379
33.75,3129
32.66,4486
33.37,4564
33.56,1783
28.49,341
29.40,NA
36.22,15987
36.99,14506
37.58,20472
28.24,453
28.74,509
36.30,13281
31.54,1597
37.74,23603
34.20,4593
36.22,NA
36.95,22941
36.46,15072
34.16,2702
36.49,13497
36.74,16653
37.77,31378
35.67,13749
36.43,18910
37.11,27136
36.60,19672
37.08,15002
37.54,32351
33.55,6058
36.02,10914
36.89,16462
36.43,13365
35.63,8359
35.07,9384
30.23,404
24.00,-194
35.40,6161
38.27,28568
28.66,253
33.60,4637
34.37,5429
34.13,4225
34.02,5405
34.35,4478
34.60,5720
33.45,4560
34.61,4468
33.28,5717
34.35,5175
35.19,4930
33.61,3942
34.97,5229
34.03,6133
34.00,4724
34.63,4704
34.74,6134
34.21,5307
34.17,3370
33.93,5429
33.96,4804
34.61,3943
33.91,6133
33.40,4475
33.34,NA
33.15,NA
33.24,NA
33.02,NA
26.42,95
29.04,185
28.34,230
17.11,171
24.39,NA
24.86,NA
24.80,NA
24.35,NA
24.42,NA
24.49,NA
24.31,NA
25.01,NA
24.64,NA
24.53,-155
18.50,NA
13.58,213
29.91,228
26.12,142
28.29,239
27.64,207
28.40,301
27.86,NA
27.10,258
24.57,-96
27.03,63
24.46,-169
27.33,NA
27.93,NA
27.95,NA
34.04,5270
34.51,3908
34.17,4940
36.58,12712
23.98,NA
28.79,374
28.89,275
24.45,-24
28.16,NA
24.39,-223
27.86,-24
27.75,NA
38.58,48464
39.83,43318
38.78,46670
37.85,35904
37.25,25977
35.34,9131
35.52,9234
31.32,801
36.14,10486
34.22,4930
36.88,17485
40.06,93153
37.78,20203
39.94,77826
39.21,59325
13.08,NA
11.86,NA
36.10,13036
37.84,26265
36.18,11584
34.18,3439
37.74,20314
37.92,25157
27.65,227
37.20,18904
29.86,426
29.64,345
38.14,39239
38.79,52370
37.03,17269
29.60,652
41.39,142369
43.11,237250
24.35,-68
28.76,440
40.11,78916
38.99,56131
40.06,80998
39.66,61811
40.25,89756
27.82,NA
27.87,-34
17.10,169
28.00,79
24.43,-33
21.65,69
18.10,-116
19.10,109
19.95,-7
17.50,-33
18.11,35
18.15,82
21.00,-95
16.80,114
20.80,145
20.96,10
18.35,240
21.25,59
23.09,-58
17.73,42
37.21,NA
25.59,-135
24.83,68
24.36,NA
24.05,8
24.37,-326
24.33,-297
24.62,-393
24.62,-24
23.99,-164
23.49,-211
27.40,NA
27.83,NA
27.91,NA
27.69,NA
28.13,-80
27.79,NA
27.92,NA
27.92,44
27.84,NA
27.66,NA
27.68,NA
27.96,NA
21.30,-75
16.13,36
27.97,278
28.17,NA
28.18,324
24.36,-85
24.77,NA
24.50,81
24.41,NA
24.60,-355
24.61,-164
24.66,3
28.75,450
29.05,405
29.48,241
29.91,226
24.10,-120
24.32,-13
29.62,467
14.57,NA
14.41,NA
24.17,48
26.08,180
36.15,10374
38.60,30279
36.55,11841
35.25,7373
35.81,10561
37.56,19125
34.26,60030
24.40,16
24.45,-181
24.23,NA
24.40,NA
24.57,-96
24.75,-19
24.49,-216
30.40,NA
21.10,0
27.98,NA
31.32,NA
41.65,NA
41.77,NA
38.82,NA
40.32,NA
35.63,9474
43.44,NA
43.85,NA
43.52,NA
38.58,81556
40.42,89440
39.81,79026
39.58,65231
40.06,NA
38.55,42955
39.49,NA
38.46,NA
37.46,NA
40.09,79038
39.84,64061
40.59,NA
38.92,54113
40.13,87228
39.24,NA
38.08,NA
38.69,49673
38.65,NA
39.30,63923
39.56,75045
39.54,69446
39.83,NA
40.89,NA
39.49,NA
40.06,NA
40.12,83278
40.51,NA
40.67,109014
40.03,NA
38.59,48671
40.33,NA
41.02,NA
38.05,NA
40.13,NA
39.11,NA
39.48,66181
39.37,NA
41.13,123355
38.04,36447
38.63,46951
40.03,NA
40.31,NA
39.09,56020
40.06,84068
39.79,84492
39.87,NA
40.20,88561
40.48,93424
40.19,92802
39.79,NA
41.20,NA
39.15,NA
40.26,NA
39.90,NA
39.26,NA
40.30,NA
40.32,91617
39.49,NA
41.16,NA
39.02,54174
39.27,61485
40.39,NA
39.50,NA
39.26,63828
40.44,108278
41.42,NA
40.72,NA
39.96,81816
40.67,NA
38.99,55924
41.19,117348
40.87,NA
41.07,NA
39.37,64591
37.84,35328
40.01,NA
40.59,105029
40.85,126695
40.88,113461
40.01,71944
41.50,116190
41.96,170745
41.06,146754
41.41,148358
42.44,196580
41.55,134948
41.07,128874
40.60,128729
42.51,185778
41.78,170774
41.36,113765
41.70,128832
40.53,95792
42.48,173438
41.12,134771
41.34,174032
41.72,124570
42.83,248790
41.34,132090
41.65,150008
43.21,257733
41.71,161796
42.88,233694
42.59,173785
43.78,228652
41.23,158800
38.58,53873
43.65,164744
39.49,53819
42.48,110781
41.25,140756
41.05,131763
42.26,194719
40.62,107779
41.29,131762
41.61,149751
42.45,191723
41.47,128870
42.05,191827
42.53,224806
38.50,44816
38.08,37009
38.25,35834
38.72,54695
41.61,137921
42.92,278827
41.34,140863
39.85,84063
43.56,278908
41.80,165464
42.26,201140
41.66,153168
39.22,57450
38.19,38605
31.84,974
38.18,38895
37.26,27068
40.33,87010
39.31,57304
38.41,47939
37.93,32611
37.98,37311
39.05,48017
39.93,77544
38.46,30132
39.80,75089
40.34,90314
40.58,104990
39.65,66191
39.77,77563
39.41,72090
38.34,41116
40.77,89984
38.88,17982
40.28,111529
35.27,NA
35.65,NA
38.10,44866
37.99,37921
38.76,52287
37.94,33172
37.97,35336
40.19,112128
40.48,127454
40.57,106048
37.69,22407
41.23,125957
42.98,245191
27.80,NA
27.78,NA
19.51,NA
17.40,-258
20.64,130
21.56,NA
20.08,NA
17.45,-91
22.82,NA
19.60,-27
20.40,NA
19.75,NA
20.40,-186
19.80,NA
18.80,-205
19.46,NA
25.56,164
15.52,-55
28.50,NA
27.47,NA
28.32,NA
27.96,NA
27.67,NA
27.78,NA
27.65,NA
27.70,NA
27.90,NA
20.35,NA
31.22,NA
31.01,NA
32.42,2155
32.56,1626
32.65,819
30.46,1527
32.34,2814
32.87,2868
32.32,2403
35.98,10046
32.41,1485
30.15,813
37.08,17780
31.85,1191
28.32,1034
33.81,8013
31.56,1358
37.59,22950
34.01,5866
33.45,2176
33.82,4050
34.51,4875
34.74,5637
34.99,3694
31.84,923
33.61,3417
33.15,2598
32.69,1296
36.08,7135
33.47,3014
32.54,1786
31.52,1232
31.87,1573
33.26,2314
31.33,1138
33.33,3277
35.05,6251
32.58,2170
35.77,9255
33.77,4480
30.78,1076
32.50,1412
31.18,2268
31.57,1412
33.02,6625
32.44,2745
32.84,1784
29.65,456
32.21,2400
32.63,2213
35.07,7965
35.44,8075
32.66,2218
34.95,7592
32.14,1966
32.45,1946
34.02,3734
33.06,2619
31.26,1362
34.88,7283
34.45,4773
30.43,2147
35.39,7484
33.14,1952
32.13,1912
30.02,656
31.29,862
29.22,1557
31.57,1026
31.77,1053
30.17,764
28.79,1660
31.99,1627
31.36,1040
33.56,2535
35.31,5918
34.60,6161
31.51,933
32.67,2213
32.78,2407
31.46,813
31.84,1924
31.33,2023
32.75,1337
31.06,256
35.04,5464
35.70,8396
34.81,6683
34.65,8105
34.98,6152
34.94,6983
33.72,2897
33.69,5521
31.17,1033
33.11,2801
35.67,9001
33.94,6915
30.34,814
32.28,1044
31.68,1333
32.56,1867
31.92,2202
32.59,1196
34.99,7290
32.29,2636
32.83,2415
32.77,2017
33.55,7430
32.47,1285
33.88,7104
34.12,5166
34.42,5333
35.43,7130
36.46,15941
32.19,889
35.96,10295
32.45,1511
34.87,7870
35.82,9716
34.63,7314
32.50,1900
32.11,1716
32.21,1429
35.79,10314
34.24,7642
31.42,1083
32.12,1032
32.59,1020
33.42,3109
31.36,2346
32.05,1557
30.98,916
31.13,732
32.54,2040
33.51,1311
32.05,2027
32.59,2200
33.64,2198
32.51,1919
33.08,3123
33.33,2617
31.56,608
33.44,2266
30.47,665
31.06,541
31.94,1294
33.78,2393
33.80,5834
32.62,1216
32.14,1205
35.23,7043
34.85,5817
34.91,6770
35.84,6639
32.65,2111
32.11,1184
30.73,682
31.93,2327
32.84,2581
32.37,1545
33.06,2173
35.18,5889
35.08,6192
32.53,2006
33.44,2714
34.77,6817
37.21,12185
29.69,465
30.73,1385
33.88,4104
32.00,781
35.24,7140
34.15,7529
34.45,5900
31.07,845
32.63,2427
34.85,7033
34.85,8665
32.22,2037
32.03,1142
30.98,841
35.05,6332
30.16,724
30.97,655
31.56,1233
32.87,1993
36.20,7823
31.73,1209
33.04,2910
29.53,914
31.29,1025
29.26,356
35.06,5666
33.46,2140
32.71,1868
31.68,2484
34.52,5284
32.25,1627
33.59,2240
31.97,1680
32.68,1579
35.40,7459
33.48,2401
35.74,8513
33.23,2254
35.11,9899
34.01,8244
32.58,875
34.13,6933
32.33,1533
34.53,2742
35.91,8352
34.12,2426
34.96,5230
35.51,8980
35.65,6808
34.42,7654
30.96,218
31.00,538
34.61,6714
31.04,913
32.59,2639
31.06,768
31.86,1997
35.56,7886
31.14,1318
31.15,2018
33.13,1999
30.53,864
33.85,8122
31.86,1804
31.49,685
35.24,8127
36.08,7046
34.99,7292
35.14,5588
31.31,1019
32.60,2515
32.75,2081
31.16,1144
35.09,7180
33.36,2617
32.80,2691
30.28,1022
30.52,783
31.45,1346
32.49,2661
32.43,2642
33.45,2879
32.63,2120
31.71,1228
31.54,1005
32.06,2355
32.05,2149
32.09,4882
33.24,2956
31.20,1769
31.93,1380
32.42,2772
33.99,4161
34.63,4360
33.88,3232
34.10,2304
33.21,2357
30.83,1388
32.89,2356
32.41,2816
33.13,2324
36.92,14451
32.20,2636
33.17,1586
32.33,1565
34.62,8594
33.71,2462
35.98,10963
31.58,1357
32.72,2673
32.74,2689
34.72,14906
38.96,18239
33.19,1945
32.09,1848
31.26,6050
35.82,9511
36.37,10358
35.87,6691
33.28,2916
31.77,1435
33.27,2421
31.96,2582
32.31,795
31.27,1470
28.16,301
33.93,8403
32.61,2018
30.94,1441
30.71,1000
33.97,4650
29.71,1820
33.41,2501
34.96,7681
35.24,7721
33.37,7644
30.87,1128
31.72,1892
31.60,1598
34.35,4337
32.25,726
32.79,2318
33.16,2295
36.52,12460
35.96,9105
35.38,10902
36.18,11190
35.85,10112
35.08,6859
34.95,5019
34.71,5752
33.72,3989
35.26,8193
31.21,1837
33.03,2628
33.45,3340
34.57,5162
35.63,9458
32.36,2449
34.07,4194
33.79,4219
33.80,4732
33.74,4766
35.65,5440
33.74,4066
33.23,3666
34.48,4294
33.82,4405
34.93,5209
34.35,4245
34.46,6371
31.48,1988
34.51,7407
34.96,5428
35.33,7535
32.64,2269
34.38,3752
31.60,1359
34.47,5040
34.56,4844
32.53,1590
32.96,3636
33.55,2966
33.85,4782
31.00,1429
31.93,1308
33.02,2001
31.15,1422
33.13,2803
32.15,1418
29.42,433
32.24,1306
33.86,2656
34.40,5015
33.05,1095
35.33,7367
31.69,1396
31.41,1224
33.46,2200
31.89,1275
32.75,2014
32.12,1281
28.98,473
37.15,16250
31.36,2818
32.55,1775
30.73,1218
32.39,1561
35.15,6839
30.52,747
35.03,6249
34.54,5723
31.84,1202
29.98,677
32.75,2613
30.31,940
30.35,886
31.85,1144
31.05,614
32.41,1203
32.52,862
33.52,2868
31.12,676
31.39,1486
31.56,1228
32.50,1978
32.76,2910
34.82,6165
32.75,1475
35.03,6268
31.10,1489
32.55,2489
31.54,848
31.14,973
31.84,1830
34.19,3902
31.65,976
32.58,1861
31.87,1742
30.89,911
34.53,5928
34.22,6274
34.36,5193
34.07,6979
35.36,6108
33.01,2474
35.66,6278
33.82,2502
33.05,1599
32.50,1818
31.49,1765
30.89,1029
33.43,6601
32.53,2272
34.62,6706
33.50,3433
32.75,740
30.95,808
30.70,864
35.28,7223
35.32,7291
30.81,763
35.27,7131
30.39,620
34.03,2530
31.14,1617
33.76,2470
31.27,205
33.77,1811
35.67,9405
32.91,2146
33.66,2021
31.78,2049
31.92,2280
33.07,2262
31.05,941
31.38,643
31.28,538
28.33,229
31.37,977
33.81,2510
32.12,761
32.69,2062
31.23,1368
31.94,656
31.69,792
35.32,6658
32.80,1709
32.20,2544
31.15,1377
29.88,2177
31.11,1078
32.13,969
31.78,681
30.96,933
30.00,104
30.44,1374
32.34,2298
31.86,1030
31.93,1468
31.81,575
31.71,922
31.17,1340
32.86,1162
32.64,2393
31.25,484
31.20,2460
30.31,743
31.49,1114
30.39,1688
30.33,366
30.70,1506
31.38,2779
32.76,1373
31.09,606
30.98,1655
28.37,322
31.12,391
31.12,519
31.20,1905
31.27,1777
31.18,798
31.10,819
30.91,901
35.02,6830
34.30,4571
33.30,1198
31.10,949
30.91,1241
31.00,387
31.09,189
31.39,1159
30.81,2258
31.04,1566
30.23,1184
30.73,2292
30.89,844
31.12,1456
31.10,2012
31.72,757
30.93,232
33.26,9128
32.11,574
30.98,1360
31.39,2182
31.07,1674
31.43,292
31.39,964
31.21,1216
30.58,708
33.19,2360
30.33,979
31.03,1917
32.17,1899
31.11,1514
31.03,1669
33.67,2613
31.01,576
31.50,2206
30.93,507
29.15,586
31.62,1080
29.86,564
31.00,157
35.05,5908
35.56,7533
35.01,7517
29.54,1970
30.96,1538
35.94,9696
29.92,1085
30.97,1120
34.23,6903
35.09,8096
31.55,1193
34.67,6204
35.45,7089
31.27,1054
32.14,2507
32.23,901
30.86,1243
34.89,7309
35.29,7103
35.77,6648
35.21,7350
35.03,6046
34.94,7322
35.42,7246
34.65,7243
31.34,1035
32.37,2006
35.11,7160
35.69,6929
34.91,6819
33.10,6952
35.19,7994
35.19,6418
35.08,6587
35.38,6374
35.21,5751
34.70,6840
35.10,9477
34.29,6073
33.78,6496
35.24,6045
34.68,6932
34.95,7182
34.98,7600
35.18,8022
