galaxies
mod0,vgsr
26.69,330
32.07,1877
31.46,1935
32.49,1822
31.04,1267
28.95,491
31.79,1722
31.51,1257
31.19,1516
32.95,1890
31.60,1194
31.36,1083
31.40,1213
31.89,1366
31.49,663
31.44,1173
31.56,1516
31.32,1753
31.80,1718
29.31,595
31.39,1202
30.80,1493
31.52,1753
31.68,1605
31.56,1103
31.07,772
31.48,1487
31.43,1539
31.41,1138
31.52,1628
31.61,798
30.00,1400
28.14,2370
31.48,695
31.55,1041
34.02,5033
31.59,1260
34.54,6106
31.56,1302
31.89,1607
31.46,868
31.51,1822
31.97,1297
31.27,961
32.08,506
31.55,1330
32.28,1708
31.77,2004
31.47,1176
32.06,1786
30.31,1568
34.74,6146
29.60,928
31.67,1398
31.41,1263
31.55,1513
31.51,2016
33.04,1641
31.04,1535
31.84,1350
32.73,2093
36.96,17532
31.65,977
32.22,1135
30.96,1264
31.33,1472
31.77,1678
32.33,1508
31.40,1023
32.11,1573
31.46,913
31.44,1850
30.06,1374
31.47,1212
31.13,1803
29.62,1157
27.68,172
31.34,1218
31.46,855
31.48,1362
32.13,1485
30.66,1351
34.65,5495
31.41,827
31.78,1416
30.92,1256
31.41,1299
30.70,1449
31.06,1546
30.81,905
31.49,1236
32.95,1722
30.50,1314
28.82,302
31.41,900
30.47,970
30.90,1129
32.96,2387
30.78,1159
27.37,213
34.48,5360
34.16,4219
34.10,2646
34.35,4660
30.40,746
31.13,1004
32.02,1271
30.10,813
31.39,1235
31.71,1788
33.78,4593
29.46,826
31.67,1040
31.30,1732
31.26,1015
31.43,621
32.50,2862
32.96,1781
31.35,1065
33.35,5275
31.49,994
33.71,3840
31.81,1272
31.45,1070
31.30,976
32.19,1853
35.24,8822
31.02,1117
31.13,818
31.28,1205
33.15,3777
28.94,1329
33.91,4371
30.26,786
31.47,867
31.41,2618
33.64,5527
30.90,1335
32.98,3189
27.53,34
34.07,4594
32.29,2449
27.53,18
32.13,1700
34.05,5462
33.33,4032
33.82,4593
31.12,1680
33.06,3443
30.35,1482
34.28,4932
33.53,4029
31.87,1494
34.15,4642
33.73,3855
33.73,4632
30.41,638
33.16,2429
32.07,2626
34.21,4720
33.91,4580
31.38,1154
36.47,8711
34.19,4694
32.91,3024
31.47,1784
34.17,4686
30.30,1042
31.25,1328
34.22,4857
33.71,4368
30.05,899
33.12,2731
32.50,785
34.11,4513
31.09,1012
32.82,1313
28.79,445
31.31,1216
30.24,2155
33.49,3755
34.20,4494
33.85,3607
29.21,488
33.54,3844
34.23,4829
30.67,1015
32.50,3629
32.81,1624
29.95,594
34.35,5340
34.05,4453
33.27,3472
33.63,4116
35.05,4674
30.10,1039
32.22,2199
30.36,1056
32.44,2244
30.45,826
34.38,4356
30.75,848
30.20,866
31.82,1843
34.87,4644
32.42,2556
32.90,1828
32.19,1851
33.90,4398
32.00,1807
32.26,1218
27.68,223
32.00,891
31.54,1305
31.05,1169
35.67,7895
30.82,1164
33.21,2690
30.96,701
34.22,4412
33.99,4285
31.42,1072
31.18,1108
32.53,2648
34.13,4189
31.00,2346
32.33,1600
32.98,2290
33.04,2359
18.51,90
33.50,3048
29.27,440
30.83,979
29.13,392
32.42,2430
32.33,2589
31.05,1670
30.84,1141
31.71,1504
34.22,4344
35.04,6910
34.10,5206
33.36,2711
34.32,5767
34.60,4252
30.53,1149
30.82,1092
30.73,995
31.09,1563
34.49,4060
32.55,1908
34.15,2813
33.44,4500
36.78,14796
32.88,2892
30.33,738
31.08,961
33.26,3171
33.00,2210
33.14,2925
34.73,5267
32.90,2966
33.48,5851
34.27,5854
33.28,2797
32.15,1701
33.66,4233
32.56,1622
33.91,4905
32.34,1208
33.47,2725
32.86,2066
32.03,1623
32.04,1687
29.78,596
29.92,582
31.34,1003
31.93,2049
34.04,4386
33.82,3024
29.62,549
34.19,5316
31.22,1390
32.11,1904
34.05,4184
28.92,372
34.44,5244
34.23,5077
31.30,2614
33.24,4364
32.09,1518
33.99,4417
32.13,1041
34.36,5416
32.04,2675
30.52,587
32.14,1811
32.76,2057
31.81,1431
31.70,1638
33.35,2781
32.42,4372
35.11,6866
29.00,304
32.41,2776
35.38,6929
29.23,436
